text_raw,created_at
是不是交费才能知道结果？,Thu Feb 06 19:44:13 +0800 2025
👍👍👍,Wed Feb 05 10:40:26 +0800 2025
我是,Wed Feb 05 09:46:40 +0800 2025
124,Wed Feb 05 09:39:48 +0800 2025
智商高低不重要，重要的是不要超越智商去办事，硬撑会死人的。,Wed Feb 05 09:04:25 +0800 2025
这么简单的测试能干啥？[doge],Wed Feb 05 08:34:16 +0800 2025
[doge],Tue Feb 04 20:33:00 +0800 2025
136。也经常觉得自己是笨蛋事情做不好还焦虑还抑郁。[衰],Mon Feb 03 22:48:01 +0800 2025
[心][鲜花],Sun Feb 02 22:25:08 +0800 2025
所有的智商测试都不准的！,Sat Feb 01 16:26:34 +0800 2025
不可能会准,Sat Feb 01 02:42:56 +0800 2025
做了43分钟，完了让支付，骗子吧？,Fri Jan 31 19:18:13 +0800 2025
测了一次，135,Mon Jan 27 12:57:11 +0800 2025
智力有待开发利用[心],Tue Jan 21 06:49:13 +0800 2025
#罗云熙[超话]# //@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Sat Jan 04 19:41:26 +0800 2025
广告,Thu Jan 02 08:35:34 +0800 2025
我第一次测140+，第二次120，第三次100，第四次90以下[允悲][允悲]为什么一次比一次低，是不是不该测啊[允悲],Tue Dec 31 05:56:58 +0800 2024
勇敢接受自己的平庸,Mon Dec 30 21:51:00 +0800 2024
[doge],Tue Dec 24 18:59:16 +0800 2024
[嘻嘻],Tue Dec 24 14:54:12 +0800 2024
130，有啥用，当年也没考上985.211，今天一样在当社畜[允悲][允悲][允悲][允悲],Tue Dec 24 07:41:54 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Wed Dec 18 16:44:36 +0800 2024
有时间试试,Sat Nov 30 13:53:42 +0800 2024
我113,Sat Nov 30 01:35:59 +0800 2024
[打call],Mon Nov 25 21:21:52 +0800 2024
[酷],Wed Nov 13 13:07:59 +0800 2024
[微笑][微笑][微笑],Wed Nov 13 12:33:08 +0800 2024
6,Wed Nov 13 07:16:28 +0800 2024
支付那一刻，我觉的我智商200是没问题的.,Tue Nov 12 17:49:46 +0800 2024
花钱吗,Wed Nov 06 20:24:08 +0800 2024
[允悲]凭这张表真的知道自己聪不聪明，值得怀疑。在我认知范围，所谓智商的高的人都有哲学修养。,Tue Nov 05 18:57:42 +0800 2024
这个比高考考660分的题难我感觉和智商没啥关系吧[允悲][允悲][允悲],Tue Nov 05 12:05:21 +0800 2024
我十分钟做完，才100分，还是偏低，这个太难了，比考全中国数理化奥赛那题还难，我估计有朋哥测能达到200分，我这才100@蘇有朋,Tue Nov 05 12:03:04 +0800 2024
我够聪明吗？测测[哈哈][哈哈][哈哈],Sat Nov 02 03:32:22 +0800 2024
130我退下了,Mon Oct 28 01:31:20 +0800 2024
测过了，但我觉得最后锁着分数强制要求我付费，如果我真付了，就很显的我没什么智商，果断不出，再见！[淡淡的],Thu Oct 24 17:53:11 +0800 2024
我也测了，最后要钱才有结果,Sun Oct 20 13:46:52 +0800 2024
看看,Fri Oct 18 23:15:27 +0800 2024
我的情商是我的智商的2倍。,Sat Oct 12 18:07:02 +0800 2024
知易懂命，深入了解自己很重要，全面认清自己很重要。,Sat Oct 12 11:58:14 +0800 2024
1,Wed Oct 09 11:23:48 +0800 2024
我测了284,Mon Oct 07 16:42:23 +0800 2024
140[哈哈],Mon Oct 07 10:33:09 +0800 2024
在逆境中往往高傲的智慧没啥用，我感觉是果断果敢的心[作揖][作揖][哈哈][奋笔疾书][奋笔疾书],Fri Oct 04 08:09:41 +0800 2024
113[泪]我还是当游客去北大转一圈吧,Thu Oct 03 13:35:51 +0800 2024
我不测因为知道自己太不聪明了。[允悲][允悲],Wed Sep 25 13:50:49 +0800 2024
没意思,Tue Sep 24 22:51:14 +0800 2024
[嘻嘻],Tue Sep 24 18:31:36 +0800 2024
额,Mon Sep 23 00:46:24 +0800 2024
[心][心],Fri Sep 20 18:57:31 +0800 2024
144，没感觉有啥用[允悲],Thu Sep 19 16:26:03 +0800 2024
[笑cry][笑cry],Wed Sep 18 16:09:24 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Wed Sep 18 11:22:03 +0800 2024
每次都能达到优秀,Wed Sep 11 23:21:23 +0800 2024
我137还是不够聪明,Thu Sep 05 16:48:02 +0800 2024
109,Wed Sep 04 12:51:03 +0800 2024
140,Wed Aug 28 12:05:35 +0800 2024
32分,Wed Aug 28 10:37:57 +0800 2024
嗯嗯,Mon Aug 26 13:49:55 +0800 2024
我的智商测试98，但我觉得我仍然傻傻的，是不是这个测试题有问题？,Mon Aug 26 10:59:54 +0800 2024
121分？我有这么优秀[笑cry],Thu Aug 08 15:12:38 +0800 2024
我100[嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻],Wed Aug 07 20:33:35 +0800 2024
130,Wed Jul 31 02:19:10 +0800 2024
[鼓掌],Tue Jul 30 10:13:45 +0800 2024
不知道准不准 http://t.cn/A68izqjH,Sun Jul 28 19:22:41 +0800 2024
回复@周兴娟201404 的表态:[ok],Sun Jul 21 19:45:34 +0800 2024
原來我是低智商的人，没關係，開心平安就好，祝願大家身心健康！,Sat Jul 20 11:06:58 +0800 2024
[打call],Fri Jul 05 14:11:49 +0800 2024
每个人的缘分都不一样，智商高固然好，但是真的没必要纠结执着于智商高就怎么怎么样了！做好自己最擅长的事，发挥自己的优势就好啦[鲜花],Fri Jun 28 05:01:01 +0800 2024
[打call],Mon Jun 24 06:59:16 +0800 2024
我大概10年前的时候测过是130多点，现在是128，听说越聪明越容易得老年痴呆，对于快退休的我是个警告吗,Tue Jun 18 06:50:41 +0800 2024
120[可爱],Sat Jun 15 00:47:23 +0800 2024
！,Sun Jun 09 05:01:16 +0800 2024
塞林木,Sat Jun 01 10:27:02 +0800 2024
回复@100杯水 的表态:感谢你的关注！,Wed May 29 10:23:59 +0800 2024
我测的是102分,Tue May 28 16:06:43 +0800 2024
太累了不测了 测了一半累死了就~~~,Tue May 28 14:34:46 +0800 2024
我只会点个赞[赞],Mon May 27 21:58:13 +0800 2024
回复@Lily-9496 的表态:感谢你的关注！,Sun May 26 20:30:27 +0800 2024
回复@再回长安2022 的表态:谢谢你的关注,Fri May 24 10:14:12 +0800 2024
哈哈哈健康就好,Sun May 19 07:33:07 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Sat May 18 01:21:53 +0800 2024
回复@用户6101282871 的表态:谢谢关注,Tue May 14 16:19:20 +0800 2024
[允悲],Tue May 14 03:13:33 +0800 2024
回复@好想炖猪头 的表态:感谢你的关注,Sun May 12 19:24:37 +0800 2024
回复@一壶凉茶不错 的表态:谢谢你的关注啊,Sat May 11 18:38:44 +0800 2024
回复@北川羌笛儿 的表态:谢谢关注,Fri May 10 19:16:34 +0800 2024
回复@521妙笔丹青 的表态:谢谢关注,Tue May 07 11:34:42 +0800 2024
1,Tue May 07 09:42:21 +0800 2024
[允悲],Mon May 06 13:09:06 +0800 2024
回复@521妙笔丹青 的表态:谢谢关注,Mon May 06 09:29:59 +0800 2024
136,Wed May 01 06:43:39 +0800 2024
回复@楼外楼9527 的表态:谢谢你的关注,Tue Apr 30 16:21:21 +0800 2024
回复@婉晴star 的表态:谢谢你的关注！,Mon Apr 29 17:34:19 +0800 2024
打卡,Sun Apr 28 20:21:39 +0800 2024
卡在115，算中上还是优秀,Fri Apr 26 15:10:05 +0800 2024
[doge],Thu Apr 25 12:34:43 +0800 2024
回复@手机用户2007364461 的表态:谢谢你的关注,Wed Apr 24 18:35:56 +0800 2024
回复@天蓝海蓝945 的表态:感谢关注,Tue Apr 23 22:39:15 +0800 2024
回复@天蓝海蓝945 的表态:谢谢关注,Tue Apr 23 17:33:58 +0800 2024
回复@纯丶丶粹 的表态:感谢您的关注,Sat Apr 20 11:46:47 +0800 2024
回复@夜阑天籁 的表态:[作揖][作揖][作揖],Fri Apr 19 17:40:31 +0800 2024
@处处觅明月夜 试试？？,Wed Apr 17 20:48:08 +0800 2024
[允悲],Wed Apr 17 20:42:09 +0800 2024
回复@岁岁桃乌龙 的表态:感谢关注,Wed Apr 17 18:02:40 +0800 2024
回复@chiu1103 的表态:谢谢你的关注,Tue Apr 16 17:19:27 +0800 2024
回复@亦抵风雨亦成林 的表态:感谢关注,Mon Apr 15 22:36:54 +0800 2024
回复@1045359433自由如风wx波妞 的表态:谢谢你的关注！,Sun Apr 14 22:14:34 +0800 2024
回复@漫夭D 的表态:感谢关注,Fri Apr 12 18:00:31 +0800 2024
回复@靠哪站 的表态:谢谢关注,Fri Apr 12 10:26:30 +0800 2024
[打call],Fri Apr 12 02:18:44 +0800 2024
回复@間隙你啊 的表态:谢谢关注啊,Thu Apr 11 10:28:37 +0800 2024
德国招公务员只要听话滴。聪明的不要[允悲],Thu Apr 11 03:00:37 +0800 2024
回复@背着龟壳一路狂奔 的表态:谢谢你的关注,Wed Apr 10 09:41:27 +0800 2024
真的吗,Mon Apr 08 20:51:46 +0800 2024
回复@神秘qzuser98885 的表态:辛苦了,Mon Apr 08 11:30:29 +0800 2024
看你把结果发出来就知道很准,Sun Apr 07 16:30:26 +0800 2024
回复@Vincent_Long 的表态:谢谢关注,Sun Apr 07 09:22:06 +0800 2024
119[doge]对我来说很高了。我这种蠢猪猪只知道吃喝玩乐。,Sat Apr 06 23:33:52 +0800 2024
回复@传说中的黄脸婆 的表态:谢谢你的关注,Sat Apr 06 18:44:24 +0800 2024
179还在带货,Sat Apr 06 13:44:08 +0800 2024
回复@szlp--01 的表态:谢谢关注,Fri Apr 05 11:11:10 +0800 2024
打卡,Thu Apr 04 18:17:53 +0800 2024
回复@神仙微笑smile 的表态:谢谢你的关注啊,Thu Apr 04 18:12:17 +0800 2024
[doge][doge],Thu Apr 04 10:22:10 +0800 2024
[心],Tue Apr 02 19:44:44 +0800 2024
回复@南區雲公子 的表态:谢谢你的关注,Tue Apr 02 11:47:11 +0800 2024
我那么聪明，智力才在90以下！[泪][泪],Tue Apr 02 10:45:32 +0800 2024
哈哈！,Tue Apr 02 09:39:09 +0800 2024
140,Tue Apr 02 09:34:09 +0800 2024
这个怎么测的,Mon Apr 01 05:53:08 +0800 2024
[抱抱],Sun Mar 31 09:15:59 +0800 2024
140,Sat Mar 30 19:48:24 +0800 2024
回复@衮雪涤尘 的表态:感谢你的关注！,Sat Mar 30 17:36:56 +0800 2024
测了测130,Sat Mar 30 13:57:15 +0800 2024
我138，傻傻的,Sat Mar 30 13:45:09 +0800 2024
我测试智力，138！还行,Sat Mar 30 02:28:03 +0800 2024
当你经历过一些事情的时候，眼前的一切已经跟从前不一样了[哈哈],Fri Mar 29 20:18:41 +0800 2024
96,Thu Mar 28 22:28:49 +0800 2024
不要懂的多！懂的多就变成了狗熊[允悲][允悲][允悲][允悲],Thu Mar 28 19:44:00 +0800 2024
回复@心情故事1882777295 的表态:谢谢关注,Thu Mar 28 15:56:55 +0800 2024
136,Thu Mar 28 08:49:58 +0800 2024
我很忙下，没空做这个测试,Wed Mar 27 21:23:46 +0800 2024
回复@用户7857749855 的表态:感谢关注,Wed Mar 27 10:51:04 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Wed Mar 27 06:17:30 +0800 2024
回复@用户7857749855 的表态:感谢关注,Tue Mar 26 12:18:22 +0800 2024
路人甲路过,Tue Mar 26 00:27:47 +0800 2024
[good][good],Mon Mar 25 21:14:10 +0800 2024
回复@沉浸式贴砖13859028431福州 的表态:感谢您的关注,Mon Mar 25 17:00:15 +0800 2024
回复@挂在半梦半醒之间的我 的表态:[挤眼],Mon Mar 25 05:05:49 +0800 2024
200算不算及格[哈哈],Sat Mar 23 23:24:56 +0800 2024
106,Sat Mar 23 14:53:51 +0800 2024
回复@剧好看93 的表态:严重的肠胃细胞问题，只要你及时调理，运用SOD，六个月效果明显好转。,Sat Mar 23 10:16:06 +0800 2024
[爱你][爱你][爱你],Sat Mar 23 05:26:51 +0800 2024
回复@静静燃烧的胸毛 的表态:感谢你的关注！,Fri Mar 22 14:18:11 +0800 2024
从现在开始我要好好珍惜眼前人,Fri Mar 22 11:26:31 +0800 2024
90分可以啦，拿100分干嘛,Thu Mar 21 05:58:08 +0800 2024
我估计智商不低。 http://t.cn/A6Tw45VO,Thu Mar 21 01:14:33 +0800 2024
哈哈哈你真是秀儿,Wed Mar 20 22:29:08 +0800 2024
那是黑人品种了。不属于正常的汉族。,Wed Mar 20 11:04:14 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Tue Mar 19 23:08:45 +0800 2024
[抱抱],Tue Mar 19 12:55:39 +0800 2024
[微风],Tue Mar 19 04:28:36 +0800 2024
我250,Tue Mar 19 03:35:31 +0800 2024
128,Mon Mar 18 20:42:18 +0800 2024
回复@朵朵花开67 的表态:你好[可爱],Mon Mar 18 13:18:30 +0800 2024
回复@朵朵花开67 的表态:谢谢关注,Mon Mar 18 13:05:19 +0800 2024
我很傻。连在哪里测都不知道。就差去医院了。,Mon Mar 18 06:49:38 +0800 2024
我全部作完了，用了一个下午班，作的头痛眼花，只错了一个题！,Sun Mar 17 22:48:12 +0800 2024
狼妈、咱两个人一样啊、就剩88发发啦[嘻嘻],Sun Mar 17 16:33:23 +0800 2024
124,Sun Mar 17 13:25:15 +0800 2024
[打call],Sun Mar 17 13:06:11 +0800 2024
回复@我要和你单挑 的表态:高智商发挥高水平，为人类健康做一些有益的事，就像SOD一样为人类健康提供了，解决方案。,Sat Mar 16 10:37:57 +0800 2024
回复@茉茉在線等更新 的表态:高智商要发挥出高水平，能为社会主义建设献力量，才能体现高智商的标准和要求，,Sat Mar 16 10:35:55 +0800 2024
哈哈哈[good][抱抱][音乐][微风]//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Sat Mar 16 09:30:13 +0800 2024
别测了我80,Fri Mar 15 18:12:10 +0800 2024
回复@我要和你单挑 的表态:聪明人要干聪明的事，聪明的人，别为了小节务了聪明的形象。,Fri Mar 15 14:15:44 +0800 2024
80[允悲][允悲][允悲][允悲],Thu Mar 14 19:39:45 +0800 2024
，,Thu Mar 14 09:02:11 +0800 2024
//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Wed Mar 13 13:57:49 +0800 2024
[微风],Wed Mar 13 06:38:54 +0800 2024
我60多[打call],Mon Mar 11 15:02:09 +0800 2024
[允悲],Sun Mar 10 08:14:24 +0800 2024
哈哈哈哈哈,Wed Mar 06 09:53:13 +0800 2024
你就是真的不聪明[嘻嘻],Wed Mar 06 09:13:23 +0800 2024
142,Tue Mar 05 01:39:15 +0800 2024
智慧人生[微风][微风][微风],Fri Mar 01 13:22:13 +0800 2024
我138能考上清北吗？,Thu Feb 29 19:09:02 +0800 2024
证明了自己的聪明成度被限制在这个阶段。,Thu Feb 29 10:40:30 +0800 2024
测了一次108中资,Wed Feb 28 21:22:39 +0800 2024
[doge],Wed Feb 28 19:28:33 +0800 2024
我还比你少1分。[微笑],Sun Feb 25 20:57:42 +0800 2024
不好意思啊，123分……//@-MiaDaily:测了三次都徘徊在88分左右，原来我真的不聪明[泪][泪],Sun Feb 25 12:07:53 +0800 2024
121[哈哈][哈哈][哈哈],Sun Feb 25 00:15:07 +0800 2024
108[泪],Sat Feb 24 10:42:14 +0800 2024
做完是不是不花钱就不给你答案,Sun Aug 04 06:41:02 +0800 2024
要花钱看结果，就当我没来,Fri Aug 02 09:28:11 +0800 2024
骗人的……,Mon Feb 03 23:43:55 +0800 2025
谁有耐心做完题就证明智商不及格。我做一半实在没耐心做这种枯燥无趣的事情，做这种事本身就反映了低智商人群的做法。没有我说，其他人都不敢说，就以为高智商真的是这样的了，结果所有人被这些低智商人群忽悠了，我说的，谁不服站出来，我ko你们。,Sun Feb 02 14:54:03 +0800 2025
你妈的肯定是-250,Fri Jan 31 22:36:30 +0800 2025
[顶][顶][顶][顶][顶][怒骂][怒骂][弱][弱][弱]这是骗人的,Fri Jan 31 07:11:52 +0800 2025
没支付，感觉智商还在线……,Fri Jan 24 11:05:26 +0800 2025
那我还测不测？[允悲],Fri Nov 08 23:07:45 +0800 2024
146，但很可惜穷人是没有资格上好的学校的，我上学那会学费交不齐，书本都发不齐，而别人已经在补课并且有大量课外阅读了，我从事数控，不是科班出身，从什么都不会的门外汉到可以自己编程调机，我用了三天，自认为一般人是做不到我这种程度的，但想要再高的成就很难，因为这社会没钱没关系，只能底层,Fri Nov 08 12:41:30 +0800 2024
测智商这个事本身就属于智商问题[允悲],Fri Nov 01 22:44:01 +0800 2024
不管孩子多少IQ，个个父母都把孩子往死里整。,Thu Oct 24 17:10:47 +0800 2024
最后支付的时候断然放弃了[笑cry],Sun Oct 20 10:13:39 +0800 2024
骗子新套路，一套测试题做下来给钱才有结果。,Sun Oct 06 23:25:38 +0800 2024
参加测试的智商为零！,Sun Oct 06 17:34:21 +0800 2024
全部做完了才知道要花钱得，[允悲][允悲][允悲],Fri Oct 04 21:48:31 +0800 2024
原来要收米，我没💰[允悲],Thu Oct 03 22:13:42 +0800 2024
我在别的地方测试完要我花三十，果断放弃,Wed Oct 02 20:03:39 +0800 2024
29.9，我交一分钱都是傻子,Wed Oct 02 12:29:08 +0800 2024
是的，这个绝对是测智商。因为只有智商有问题的人才会去测智商。哈哈。我从来不搭理这些玩意。,Tue Oct 01 15:19:38 +0800 2024
如果付费了，智商才是低,Sat Sep 28 15:24:41 +0800 2024
还要付费测自己的智商的基本不需要测就知道不会太聪明了,Sat Sep 28 09:51:12 +0800 2024
做完了要花钱看结果，突然就觉得自己是聪明的，睡觉,Sat Sep 28 02:58:10 +0800 2024
到后一步付费给你看结果，发现我还是傻，不论我测多高，都是别人的韭菜,Fri Sep 27 22:14:53 +0800 2024
骗子,Fri Sep 27 18:11:26 +0800 2024
哈哈哈，想骗我付款，那不能一点儿！,Fri Sep 27 17:04:11 +0800 2024
非常坑，花时间做完要花钱才能看。30块钱。,Fri Sep 27 08:34:49 +0800 2024
表单上没我的值,Tue Sep 24 12:03:02 +0800 2024
收费多少啊，测试完看付费放弃了,Tue Sep 24 01:34:07 +0800 2024
29.9元就是为了骗钱,Sun Sep 22 20:00:44 +0800 2024
最后结果看结果应该是付费,Sun Sep 22 19:25:54 +0800 2024
在付费的那一瞬间，我知道我就是个傻子,Fri Sep 20 10:19:58 +0800 2024
答完题就花钱，[允悲],Wed Aug 14 17:06:09 +0800 2024
不是，你们都付钱了？,Wed Aug 07 17:01:02 +0800 2024
[污]要付费[阴险],Sun Feb 09 10:26:53 +0800 2025
靠，我150，我连一个日语单词都记不住,Sun Feb 09 09:54:54 +0800 2025
.,Sun Feb 09 09:35:54 +0800 2025
@超模fanfan 老婆静，把你追回来是我的梦想，别走了呗,Sun Feb 09 09:32:54 +0800 2025
[心],Sun Feb 09 09:23:26 +0800 2025
相信这种胡扯无聊的东西，智商本身就差点事,Sun Feb 09 08:16:43 +0800 2025
就是第一印象,Sun Feb 09 08:08:49 +0800 2025
如果你真的聪明就不会相信了,Sun Feb 09 07:39:21 +0800 2025
我不知道这里面有多少托，虽说29.9钱不多，也不知道到底有没有用，多谢智力测试发明者。我付不起你的发明费，谢谢您了,Sun Feb 09 04:44:48 +0800 2025
[心],Sun Feb 09 02:33:18 +0800 2025
我付了29· 9元都不看到怎么回事,Sun Feb 09 02:18:07 +0800 2025
上次测试127，还是花了十几块解锁[允悲]，详细的进一步还要花钱就算了,Sat Feb 08 23:41:37 +0800 2025
晚安,Sat Feb 08 23:37:37 +0800 2025
看看我主页吧，谢谢。,Sat Feb 08 23:04:08 +0800 2025
智商税[允悲],Sat Feb 08 22:01:59 +0800 2025
[打call],Sat Feb 08 21:43:08 +0800 2025
130，但是又咋样？还不是吃米粉，刷手机,Sat Feb 08 21:21:24 +0800 2025
143,Sat Feb 08 20:19:10 +0800 2025
cnm,Sat Feb 08 17:34:24 +0800 2025
130,Sat Jun 08 14:23:18 +0800 2024
53岁，测试118优秀，看来还是上班好呀，大脑退化慢些[太开心],Sat Feb 08 16:38:12 +0800 2025
竟然还要30块才能开结果，也是无语了。30块可以吃一天了,Sat Feb 08 16:22:17 +0800 2025
你妈得花钱 29.9 我了去你DY,Sat Feb 08 16:04:22 +0800 2025
做人看的是综合素质，对于智商这玩意儿不看最好莫当真。,Sat Feb 08 15:56:48 +0800 2025
29.9,Sat Feb 08 15:28:45 +0800 2025
[抱抱],Sat Feb 08 13:04:03 +0800 2025
要钱的，尼玛,Sat Feb 08 11:57:47 +0800 2025
[心],Sat Feb 08 10:59:32 +0800 2025
滚，骗钱,Sat Feb 08 10:10:28 +0800 2025
为什么要付费？这不是骗人的把戏？,Sat Feb 08 09:42:55 +0800 2025
聪明有p用  还不是牛马,Sat Feb 08 09:36:16 +0800 2025
智商税，[泪][泪],Sat Feb 08 09:31:59 +0800 2025
29.9，挣不少,Sat Feb 08 09:30:29 +0800 2025
[心][心],Sat Feb 08 08:04:09 +0800 2025
亲爱的你在富宁鸣？如果在富宁今天过来吧，想你知道吗,Sat Feb 08 06:42:13 +0800 2025
我刚测130,Sat Feb 08 06:31:01 +0800 2025
[心],Sat Feb 08 02:31:09 +0800 2025
我140,Fri Feb 07 21:11:51 +0800 2025
[挤眼],Fri Feb 07 19:46:30 +0800 2025
29.9？要花钱啊 花钱的智商应该都不会超过100[笑cry],Fri Feb 07 14:33:19 +0800 2025
骗钱的软件，很不合理,Fri Feb 07 12:05:57 +0800 2025
博傻游戏而已！,Fri Feb 07 12:05:08 +0800 2025
1,Fri Feb 07 11:50:08 +0800 2025
最后交钱查看的要么智商不高，要么钱多[哈哈],Fri Feb 07 11:17:04 +0800 2025
[打call][打call][打call],Fri Feb 07 09:46:34 +0800 2025
好不容易做完了 还要付费[泪][允悲],Fri Feb 07 09:45:54 +0800 2025
套路测好后交费才出结论！,Fri Feb 07 09:08:27 +0800 2025
[打call],Fri Feb 07 09:02:21 +0800 2025
早安,Fri Feb 07 08:21:01 +0800 2025
4,Fri Feb 07 08:06:57 +0800 2025
大家注意：要交钱才有“测试结果”！,Fri Feb 07 06:13:00 +0800 2025
智商很高了，要钱没给[允悲][允悲][允悲],Fri Feb 07 05:50:12 +0800 2025
很不错的[打call],Fri Feb 07 04:38:36 +0800 2025
[打call],Thu Feb 06 22:17:54 +0800 2025
拼多多平台上的不良商家太多了，拼多多也不监管，纵容不良商家欺诈消费者！并非个例，比如：我在拼多多上买了一个黑胡桃床，暂不说是不是正品，而商家虚假发货，然后商家提供虚假物流信息来欺诈消费者，拼多多和稀泥，不敢承担应有的责任！原来平台联合不良商家都是一群骗子！！！@拼多多,Thu Feb 06 21:08:58 +0800 2025
J?/ 怀揣一颗感恩的心，心留一份感恩的情，无需豪言壮语，只用一条信息，在这温馨的节日里，降临你的手机。香炉🍗🎦41V进门^—,Thu Feb 06 21:02:22 +0800 2025
聪明人都不会相信这样的垃圾东西，这个纯属是扯蛋。,Thu Feb 06 20:49:51 +0800 2025
对啊，你就是不聪明[笑cry],Thu Feb 06 20:45:50 +0800 2025
4,Thu Feb 06 19:28:23 +0800 2025
弄了半天，结果要钱[黑线],Thu Feb 06 18:35:22 +0800 2025
收钱吗收钱吗这个,Thu Feb 06 18:01:42 +0800 2025
花钱,Thu Feb 06 16:36:33 +0800 2025
